head,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,base_rate,f1_ci_lo,f1_ci_hi
Typography,0.6388888888888888,0.6050420168067226,0.8,0.6889952153110048,0.7128086419753086,0.6914785207433637,0.22414769232273102,0.5,0.6335055685393844,0.7344181552528632
Patch,0.8611111111111112,0.8282828282828283,0.9111111111111111,0.8677248677248677,0.9316358024691358,0.926365632067822,0.10811265558004379,0.5,0.8289791016094162,0.904890937084178
Steganography,0.5638888888888889,0.5485232067510548,0.7222222222222222,0.6235011990407674,0.5715123456790123,0.5323543148457834,0.24613118171691895,0.5,0.5699063998613332,0.675990675990676
